State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
CALIFORNIA,6,SAN JOAQUIN,77,,SORGHUM - OPERATIONS WITH SALES,6
CALIFORNIA,6,SAN JOAQUIN,77,,"SORGHUM - SALES, MEASURED IN $","375,000"
CALIFORNIA,6,STANISLAUS,99,,SORGHUM - OPERATIONS WITH SALES,4
CALIFORNIA,6,STANISLAUS,99,,"SORGHUM - SALES, MEASURED IN $","111,000"
CALIFORNIA,6,TULARE,107,,SORGHUM - OPERATIONS WITH SALES,13
CALIFORNIA,6,TULARE,107,,"SORGHUM - SALES, MEASURED IN $","1,082,000"
CALIFORNIA,6,IMPERIAL,25,,SORGHUM - OPERATIONS WITH SALES,1
CALIFORNIA,6,IMPERIAL,25,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,ADAMS,1,,SORGHUM - OPERATIONS WITH SALES,22
COLORADO,8,ADAMS,1,,"SORGHUM - SALES, MEASURED IN $","861,000"
COLORADO,8,ARAPAHOE,5,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,ARAPAHOE,5,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,CHEYENNE,17,,SORGHUM - OPERATIONS WITH SALES,76
COLORADO,8,CHEYENNE,17,,"SORGHUM - SALES, MEASURED IN $","7,708,000"
COLORADO,8,EL PASO,41,,SORGHUM - OPERATIONS WITH SALES,7
COLORADO,8,EL PASO,41,,"SORGHUM - SALES, MEASURED IN $","54,000"
COLORADO,8,ELBERT,39,,SORGHUM - OPERATIONS WITH SALES,16
COLORADO,8,ELBERT,39,,"SORGHUM - SALES, MEASURED IN $","547,000"
COLORADO,8,KIOWA,61,,SORGHUM - OPERATIONS WITH SALES,58
COLORADO,8,KIOWA,61,,"SORGHUM - SALES, MEASURED IN $","9,071,000"
COLORADO,8,KIT CARSON,63,,SORGHUM - OPERATIONS WITH SALES,64
COLORADO,8,KIT CARSON,63,,"SORGHUM - SALES, MEASURED IN $","7,157,000"
COLORADO,8,LINCOLN,73,,SORGHUM - OPERATIONS WITH SALES,38
COLORADO,8,LINCOLN,73,,"SORGHUM - SALES, MEASURED IN $","1,709,000"
COLORADO,8,PHILLIPS,95,,SORGHUM - OPERATIONS WITH SALES,9
COLORADO,8,PHILLIPS,95,,"SORGHUM - SALES, MEASURED IN $","254,000"
COLORADO,8,WASHINGTON,121,,SORGHUM - OPERATIONS WITH SALES,49
COLORADO,8,WASHINGTON,121,,"SORGHUM - SALES, MEASURED IN $","3,984,000"
COLORADO,8,YUMA,125,,SORGHUM - OPERATIONS WITH SALES,34
COLORADO,8,YUMA,125,,"SORGHUM - SALES, MEASURED IN $","1,696,000"
COLORADO,8,BOULDER,13,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,BOULDER,13,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,LARIMER,69,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,LARIMER,69,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,LOGAN,75,,SORGHUM - OPERATIONS WITH SALES,29
COLORADO,8,LOGAN,75,,"SORGHUM - SALES, MEASURED IN $","2,137,000"
COLORADO,8,MORGAN,87,,SORGHUM - OPERATIONS WITH SALES,10
COLORADO,8,MORGAN,87,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,SEDGWICK,115,,SORGHUM - OPERATIONS WITH SALES,18
COLORADO,8,SEDGWICK,115,,"SORGHUM - SALES, MEASURED IN $","500,000"
COLORADO,8,WELD,123,,SORGHUM - OPERATIONS WITH SALES,26
COLORADO,8,WELD,123,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,ALAMOSA,3,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,ALAMOSA,3,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,SAGUACHE,109,,SORGHUM - OPERATIONS WITH SALES,2
COLORADO,8,SAGUACHE,109,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,BACA,9,,SORGHUM - OPERATIONS WITH SALES,117
COLORADO,8,BACA,9,,"SORGHUM - SALES, MEASURED IN $","14,241,000"
COLORADO,8,BENT,11,,SORGHUM - OPERATIONS WITH SALES,15
COLORADO,8,BENT,11,,"SORGHUM - SALES, MEASURED IN $","734,000"
COLORADO,8,CROWLEY,25,,SORGHUM - OPERATIONS WITH SALES,10
COLORADO,8,CROWLEY,25,,"SORGHUM - SALES, MEASURED IN $","160,000"
COLORADO,8,LAS ANIMAS,71,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,LAS ANIMAS,71,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,OTERO,89,,SORGHUM - OPERATIONS WITH SALES,45
COLORADO,8,OTERO,89,,"SORGHUM - SALES, MEASURED IN $","2,952,000"
COLORADO,8,PROWERS,99,,SORGHUM - OPERATIONS WITH SALES,78
COLORADO,8,PROWERS,99,,"SORGHUM - SALES, MEASURED IN $","6,606,000"
COLORADO,8,PUEBLO,101,,SORGHUM - OPERATIONS WITH SALES,1
COLORADO,8,PUEBLO,101,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,LA PLATA,67,,SORGHUM - OPERATIONS WITH SALES,2
COLORADO,8,LA PLATA,67,,"SORGHUM - SALES, MEASURED IN $",0
COLORADO,8,MONTROSE,85,,SORGHUM - OPERATIONS WITH SALES,3
COLORADO,8,MONTROSE,85,,"SORGHUM - SALES, MEASURED IN $","31,000"
CONNECTICUT,9,LITCHFIELD,5,,SORGHUM - OPERATIONS WITH SALES,1
CONNECTICUT,9,LITCHFIELD,5,,"SORGHUM - SALES, MEASURED IN $",0
DELAWARE,10,KENT,1,,SORGHUM - OPERATIONS WITH SALES,5
DELAWARE,10,KENT,1,,"SORGHUM - SALES, MEASURED IN $","59,000"
DELAWARE,10,SUSSEX,5,,SORGHUM - OPERATIONS WITH SALES,5
DELAWARE,10,SUSSEX,5,,"SORGHUM - SALES, MEASURED IN $","52,000"
FLORIDA,12,ALACHUA,1,,SORGHUM - OPERATIONS WITH SALES,1
FLORIDA,12,ALACHUA,1,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,GILCHRIST,41,,SORGHUM - OPERATIONS WITH SALES,3
FLORIDA,12,GILCHRIST,41,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,LEVY,75,,SORGHUM - OPERATIONS WITH SALES,4
FLORIDA,12,LEVY,75,,"SORGHUM - SALES, MEASURED IN $","456,000"
FLORIDA,12,MARION,83,,SORGHUM - OPERATIONS WITH SALES,2
FLORIDA,12,MARION,83,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,HAMILTON,47,,SORGHUM - OPERATIONS WITH SALES,1
FLORIDA,12,HAMILTON,47,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,MADISON,79,,SORGHUM - OPERATIONS WITH SALES,2
FLORIDA,12,MADISON,79,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,SUWANNEE,121,,SORGHUM - OPERATIONS WITH SALES,2
FLORIDA,12,SUWANNEE,121,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,HOLMES,59,,SORGHUM - OPERATIONS WITH SALES,3
FLORIDA,12,HOLMES,59,,"SORGHUM - SALES, MEASURED IN $",0
FLORIDA,12,LEON,73,,SORGHUM - OPERATIONS WITH SALES,1
FLORIDA,12,LEON,73,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BLECKLEY,23,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,BLECKLEY,23,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,CRAWFORD,79,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,CRAWFORD,79,,"SORGHUM - SALES, MEASURED IN $",0
