time,latitude,longitude,tmpsfc,tmp2m,ugrd10m,vgrd10m
UTC,degrees_north,degrees_east,K,K,m s-1,m s-1
2023-01-16T12:00:00Z,50,105,247.06609,249.7664,2.1911206,-0.6450293
2023-01-16T12:00:00Z,50,110,251.66609,252.2864,6.2711205,-2.3750293
2023-01-16T12:00:00Z,50,115,251.86609,254.4964,5.7211204,-1.5550293
2023-01-16T12:00:00Z,50,120,250.16609,250.9264,1.4711206,1.1949707
2023-01-16T12:00:00Z,50,125,245.36609,245.9664,-0.5388794,1.2449707
2023-01-16T12:00:00Z,50,130,238.06609,240.4764,-0.8088794,1.0949707
2023-01-31T12:00:00Z,20,60,296.47995,295.5442,-5.3166113,-1.7161865
2023-01-31T12:00:00Z,20,65,296.27997,296.0142,-5.8566113,-5.266186
2023-01-31T12:00:00Z,20,70,297.07996,297.0542,0.43338865,-3.5261865
2023-01-31T12:00:00Z,20,75,300.47995,300.3442,-1.7966113,-6.9861865
2023-01-31T12:00:00Z,20,80,301.97995,303.5442,0.54338866,-2.9261866
2023-01-31T12:00:00Z,20,85,297.07996,299.7942,-2.4366112,1.5038134
2023-01-31T12:00:00Z,20,90,298.47995,297.2742,0.33338866,-2.8861864
2023-01-31T12:00:00Z,20,95,300.07996,301.81418,-2.9066112,-1.2961864
2023-01-31T12:00:00Z,20,100,293.87997,295.2742,-0.16661133,0.7238135
2023-01-31T12:00:00Z,20,105,283.97995,284.9342,-0.64661133,0.87381345
2023-01-31T12:00:00Z,20,110,291.57996,292.3542,-5.5666113,-0.3561865
2023-01-31T12:00:00Z,20,115,296.27997,295.8642,-6.266611,0.39381346
2023-01-31T12:00:00Z,20,120,297.47995,296.5242,-12.3266115,2.2938135
2023-01-31T12:00:00Z,20,125,297.27997,295.3642,-9.276611,2.3238134
2023-01-31T12:00:00Z,20,130,298.17996,294.94418,-10.8666115,-2.2261865
2023-01-31T12:00:00Z,25,60,295.67996,294.3842,-2.9166112,2.9838135
2023-01-31T12:00:00Z,25,65,295.37997,295.0242,-4.266611,1.8138134
2023-01-31T12:00:00Z,25,70,299.57996,299.0742,-4.3566113,-4.536186
2023-01-31T12:00:00Z,25,75,291.87997,292.8542,-0.6866113,-3.9661865
2023-01-31T12:00:00Z,25,80,293.37997,294.3842,2.4233887,-2.9861865
2023-01-31T12:00:00Z,25,85,293.47995,296.41418,3.5133886,-1.4961865
2023-01-31T12:00:00Z,25,90,294.97995,297.6042,2.5933886,1.2038134
